event_id,year
2007-0032-MDG,2007
2007-0080-MOZ,2007
2007-0080-ZWE,2007
2007-0085-MUS,2007
2007-0085-REU,2007
2007-0095-MDG,2007
2007-0133-NZL,2007
2007-0151-FJI,2007
2007-0164-IRN,2007
2007-0164-OMN,2007
2007-0227-BGD,2007
2007-0245-PAK,2007
2007-0262-JPN,2007
2007-0346-PHL,2007
2007-0359-USA,2007
2007-0360-BLZ,2007
2007-0360-CUB,2007
2007-0360-DMA,2007
2007-0360-DOM,2007
2007-0360-GLP,2007
2007-0360-HTI,2007
2007-0360-JAM,2007
2007-0360-LCA,2007
2007-0360-MEX,2007
2007-0360-MTQ,2007
2007-0380-CHN,2007
2007-0380-PHL,2007
2007-0380-TWN,2007
2007-0439-GTM,2007
2007-0439-HND,2007
2007-0439-MEX,2007
2007-0439-NIC,2007
2007-0439-SLV,2007
2007-0457-CHN,2007
2007-0457-JPN,2007
2007-0457-PHL,2007
2007-0457-PRK,2007
2007-0463-PHL,2007
2007-0463-VNM,2007
2007-0464-MEX,2007
2007-0470-KOR,2007
2007-0479-JPN,2007
2007-0523-BHS,2007
2007-0523-CUB,2007
2007-0523-DOM,2007
2007-0523-HTI,2007
2007-0523-JAM,2007
2007-0552-CHN,2007
2007-0552-TWN,2007
2007-0556-BGD,2007
2007-0556-IND,2007
2007-0557-PNG,2007
2007-0560-PHL,2007
2007-0576-PHL,2007
2007-0578-PHL,2007
2007-0591-AUS,2007
2007-0612-DOM,2007
2007-0612-HTI,2007
2007-0612-PRI,2007
2007-0655-FJI,2007
2007-0668-PHL,2007
2007-0671-MEX,2007
2008-0043-MDG,2008
2008-0051-FJI,2008
2008-0070-MDG,2008
2008-0111-MDG,2008
2008-0111-MOZ,2008
2008-0155-CHN,2008
2008-0155-PHL,2008
2008-0184-LKA,2008
2008-0184-MMR,2008
2008-0184-THA,2008
2008-0197-PHL,2008
2008-0233-BLZ,2008
2008-0234-CRI,2008
2008-0234-HND,2008
2008-0234-NIC,2008
2008-0249-CHN,2008
2008-0249-PHL,2008
2008-0292-CHN,2008
2008-0292-PHL,2008
2008-0292-TWN,2008
2008-0295-TWN,2008
2008-0304-GTM,2008
2008-0304-MEX,2008
2008-0304-USA,2008
2008-0329-CHN,2008
2008-0329-HKG,2008
2008-0329-PHL,2008
2008-0329-THA,2008
2008-0329-VNM,2008
2008-0338-CUB,2008
2008-0338-DOM,2008
2008-0338-HTI,2008
2008-0338-JAM,2008
2008-0338-USA,2008
2008-0352-BHS,2008
2008-0352-CUB,2008
2008-0352-CYM,2008
2008-0352-DOM,2008
2008-0352-HTI,2008
2008-0352-JAM,2008
2008-0352-TCA,2008
2008-0352-USA,2008
2008-0369-CHN,2008
2008-0369-HKG,2008
2008-0369-PHL,2008
2008-0378-DOM,2008
2008-0378-HTI,2008
2008-0378-TCA,2008
2008-0378-USA,2008
2008-0384-BHS,2008
2008-0384-CUB,2008
2008-0384-HTI,2008
2008-0384-TCA,2008
2008-0384-USA,2008
2008-0426-CHN,2008
2008-0426-HKG,2008
2008-0426-PHL,2008
2008-0426-TWN,2008
2008-0426-VNM,2008
2008-0437-VNM,2008
2008-0441-CHN,2008
2008-0441-TWN,2008
2008-0442-TWN,2008
2008-0514-CUB,2008
2008-0514-CYM,2008
2008-0540-PHL,2008
2008-0540-VNM,2008
2008-0552-VNM,2008
2008-0604-ATG,2008
2008-0604-KNA,2008
2008-0609-PHL,2008
2008-0621-PHL,2008
2008-0623-PHL,2008
2008-0644-BGD,2008
2008-0648-BGD,2008
2009-0047-MDG,2009
2009-0048-AUS,2009
2009-0123-MDG,2009
2009-0123-MOZ,2009
2009-0137-MDG,2009
2009-0157-BGD,2009
2009-0165-PHL,2009
2009-0174-PHL,2009
2009-0204-BGD,2009
2009-0204-BTN,2009
2009-0204-IND,2009
2009-0239-PHL,2009
2009-0265-PHL,2009
2009-0316-JPN,2009
2009-0321-CHN,2009
2009-0321-PHL,2009
2009-0321-TWN,2009
2009-0342-CAN,2009
2009-0342-USA,2009
2009-0360-PHL,2009
2009-0373-PHL,2009
2009-0374-PHL,2009
2009-0384-MEX,2009
2009-0399-CHN,2009
2009-0399-HKG,2009
2009-0414-KHM,2009
2009-0414-LAO,2009
2009-0414-PHL,2009
2009-0414-VNM,2009
2009-0422-CHN,2009
2009-0422-PHL,2009
2009-0422-VNM,2009
2009-0423-JPN,2009
2009-0477-MEX,2009
2009-0477-NIC,2009
2009-0477-SLV,2009
2009-0477-USA,2009
2009-0478-KHM,2009
2009-0478-PHL,2009
2009-0478-VNM,2009
2009-0521-PHL,2009
2009-0554-FJI,2009
2009-0606-PHL,2009
2009-0609-IND,2009
2009-0621-CHN,2009
2010-0044-PYF,2010
2010-0078-COK,2010
2010-0104-MDG,2010
2010-0106-FJI,2010
2010-0120-AUS,2010
2010-0120-SLB,2010
2010-0171-BGD,2010
2010-0171-IND,2010
2010-0198-IND,2010
2010-0205-BGD,2010
2010-0210-OMN,2010
2010-0210-PAK,2010
2010-0211-GTM,2010
2010-0211-HND,2010
2010-0211-SLV,2010
2010-0260-GTM,2010
2010-0260-MEX,2010
2010-0260-NIC,2010
2010-0260-SLV,2010
2010-0308-CHN,2010
2010-0308-PHL,2010
2010-0308-VNM,2010
2010-0332-HKG,2010
2010-0332-VNM,2010
2010-0383-PHL,2010
2010-0426-MEX,2010
2010-0432-VNM,2010
2010-0468-ATG,2010
2010-0468-USA,2010
2010-0479-KOR,2010
2010-0479-PRK,2010
2010-0484-CHN,2010
2010-0484-TWN,2010
2010-0494-MEX,2010
2010-0501-JAM,2010
2010-0503-BLZ,2010
2010-0503-GTM,2010
2010-0503-HND,2010
2010-0503-MEX,2010
2010-0503-NIC,2010
2010-0503-SLV,2010
2010-0503-VEN,2010
2010-0522-USA,2010
2010-0543-CHN,2010
2010-0543-PHL,2010
2010-0543-TWN,2010
2010-0554-MMR,2010
2010-0571-BRB,2010
2010-0571-DOM,2010
2010-0571-HTI,2010
2010-0571-LCA,2010
2010-0571-VCT,2010
2010-0691-CHN,2010
2010-0693-IND,2010
2011-0057-MDG,2011
2011-0070-AUS,2011
2011-0070-PNG,2011
2011-0070-SLB,2011
2011-0070-VUT,2011
2011-0071-VUT,2011
2011-0091-TON,2011
2011-0157-PHL,2011
2011-0203-CHN,2011
2011-0203-PHL,2011
2011-0228-MEX,2011
2011-0231-PHL,2011
2011-0241-MEX,2011
2011-0267-GTM,2011
2011-0267-MEX,2011
2011-0272-PHL,2011
2011-0272-THA,2011
2011-0279-CHN,2011
2011-0279-PHL,2011
2011-0279-PRK,2011
2011-0303-DOM,2011
2011-0303-HTI,2011
2011-0303-MTQ,2011
2011-0303-PRI,2011
2011-0328-BHS,2011
2011-0328-CAN,2011
2011-0328-DOM,2011
2011-0328-HTI,2011
2011-0328-PRI,2011
2011-0328-USA,2011
2011-0341-PHL,2011
2011-0352-JPN,2011
2011-0378-PHL,2011
2011-0379-CHN,2011
2011-0379-PHL,2011
2011-0384-PHL,2011
2011-0385-MEX,2011
2011-0414-OMN,2011
2011-0432-DMA,2011
2011-0454-JPN,2011
2011-0456-USA,2011
2011-0460-MEX,2011
2011-0519-PHL,2011
2011-0555-PHL,2011
2011-0566-IND,2011
2011-0576-CHN,2011
2011-0576-PHL,2011
2011-0576-VNM,2011
2012-0005-MDG,2012
2012-0005-MOZ,2012
2012-0005-MWI,2012
2012-0006-MOZ,2012
2012-0006-ZAF,2012
2012-0043-MDG,2012
2012-0056-MDG,2012
2012-0056-MOZ,2012
2012-0176-USA,2012
2012-0259-CHN,2012
2012-0259-VNM,2012
