transformed_feature,original_feature,class,mean_abs_shap
categorical__country_code_HTI,country_code,Moderate,1.3575982233797793e-05
categorical__country_code_HTI,country_code,Severe,3.126315527635192e-05
categorical__country_code_HUN,country_code,Low,1.649865751158282e-05
categorical__country_code_HUN,country_code,Moderate,8.240812983879923e-07
categorical__country_code_HUN,country_code,Severe,1.5886776366923857e-05
categorical__country_code_IDN,country_code,Low,0.0004220442386345397
categorical__country_code_IDN,country_code,Moderate,0.00048451337142107516
categorical__country_code_IDN,country_code,Severe,0.0009065576100556217
categorical__country_code_IND,country_code,Low,0.0025564535418529434
categorical__country_code_IND,country_code,Moderate,0.0007506516939311802
categorical__country_code_IND,country_code,Severe,0.0018190340937815498
categorical__country_code_IRL,country_code,Low,0.0
categorical__country_code_IRL,country_code,Moderate,0.0
categorical__country_code_IRL,country_code,Severe,0.0
categorical__country_code_IRN,country_code,Low,0.000226728138740527
categorical__country_code_IRN,country_code,Moderate,7.237350212782934e-05
categorical__country_code_IRN,country_code,Severe,0.00016816395401101587
categorical__country_code_IRQ,country_code,Low,6.750100189157256e-06
categorical__country_code_IRQ,country_code,Moderate,1.821414089094333e-05
categorical__country_code_IRQ,country_code,Severe,2.390138213778924e-05
categorical__country_code_ISR,country_code,Low,0.0
categorical__country_code_ISR,country_code,Moderate,0.0
categorical__country_code_ISR,country_code,Severe,0.0
categorical__country_code_ITA,country_code,Low,0.00010598558973232795
categorical__country_code_ITA,country_code,Moderate,0.00014374515640159063
categorical__country_code_ITA,country_code,Severe,0.00023385864115665385
categorical__country_code_JAM,country_code,Low,1.1214157306880521e-06
categorical__country_code_JAM,country_code,Moderate,3.3604397291284925e-07
categorical__country_code_JAM,country_code,Severe,7.865435670383565e-07
categorical__country_code_JOR,country_code,Low,0.0
categorical__country_code_JOR,country_code,Moderate,3.3259914362311026e-20
categorical__country_code_JOR,country_code,Severe,0.0
categorical__country_code_JPN,country_code,Low,0.00018136947269215605
categorical__country_code_JPN,country_code,Moderate,0.00018183942935619368
categorical__country_code_JPN,country_code,Severe,0.0002798620121901137
categorical__country_code_KAZ,country_code,Low,0.0
categorical__country_code_KAZ,country_code,Moderate,0.0
categorical__country_code_KAZ,country_code,Severe,0.0
categorical__country_code_KEN,country_code,Low,4.0957333404509913e-05
categorical__country_code_KEN,country_code,Moderate,0.0001626597663095827
categorical__country_code_KEN,country_code,Severe,0.00018156159357189032
categorical__country_code_KGZ,country_code,Low,0.0
categorical__country_code_KGZ,country_code,Moderate,0.0
categorical__country_code_KGZ,country_code,Severe,0.0
categorical__country_code_KHM,country_code,Low,3.8049771498742286e-05
categorical__country_code_KHM,country_code,Moderate,5.451551401204081e-06
categorical__country_code_KHM,country_code,Severe,4.235078182425314e-05
categorical__country_code_KIR,country_code,Low,0.0
categorical__country_code_KIR,country_code,Moderate,0.0
categorical__country_code_KIR,country_code,Severe,0.0
categorical__country_code_KOR,country_code,Low,0.00020757897798514335
categorical__country_code_KOR,country_code,Moderate,0.00012179645663929449
categorical__country_code_KOR,country_code,Severe,0.00015390258245968395
categorical__country_code_KWT,country_code,Low,0.0
categorical__country_code_KWT,country_code,Moderate,0.0
categorical__country_code_KWT,country_code,Severe,0.0
categorical__country_code_LAO,country_code,Low,2.7207712784775754e-06
categorical__country_code_LAO,country_code,Moderate,2.2511539155505087e-06
categorical__country_code_LAO,country_code,Severe,4.700321837122092e-06
categorical__country_code_LBN,country_code,Low,0.0
categorical__country_code_LBN,country_code,Moderate,0.0
categorical__country_code_LBN,country_code,Severe,0.0
categorical__country_code_LBR,country_code,Low,0.0
categorical__country_code_LBR,country_code,Moderate,0.0
categorical__country_code_LBR,country_code,Severe,0.0
categorical__country_code_LBY,country_code,Low,0.00037305716702244935
categorical__country_code_LBY,country_code,Moderate,0.0008172702642328766
categorical__country_code_LBY,country_code,Severe,0.001190265366834668
categorical__country_code_LCA,country_code,Low,0.0
categorical__country_code_LCA,country_code,Moderate,0.0
categorical__country_code_LCA,country_code,Severe,0.0
categorical__country_code_LKA,country_code,Low,0.00013760658096886508
categorical__country_code_LKA,country_code,Moderate,8.799895522924063e-05
categorical__country_code_LKA,country_code,Severe,9.776030221615913e-05
categorical__country_code_LSO,country_code,Low,0.0
categorical__country_code_LSO,country_code,Moderate,0.0
categorical__country_code_LSO,country_code,Severe,0.0
categorical__country_code_LTU,country_code,Low,0.0
categorical__country_code_LTU,country_code,Moderate,0.0
categorical__country_code_LTU,country_code,Severe,0.0
categorical__country_code_LUX,country_code,Low,0.0
categorical__country_code_LUX,country_code,Moderate,0.0
categorical__country_code_LUX,country_code,Severe,0.0
categorical__country_code_LVA,country_code,Low,0.0
categorical__country_code_LVA,country_code,Moderate,0.0
categorical__country_code_LVA,country_code,Severe,0.0
categorical__country_code_MAC,country_code,Low,0.0
categorical__country_code_MAC,country_code,Moderate,0.0
categorical__country_code_MAC,country_code,Severe,0.0
categorical__country_code_MAF,country_code,Low,0.0
categorical__country_code_MAF,country_code,Moderate,0.0
categorical__country_code_MAF,country_code,Severe,0.0
categorical__country_code_MAR,country_code,Low,2.588381527491104e-06
categorical__country_code_MAR,country_code,Moderate,2.410060097990184e-05
categorical__country_code_MAR,country_code,Severe,2.326676477388225e-05
categorical__country_code_MDA,country_code,Low,0.0
categorical__country_code_MDA,country_code,Moderate,0.0
categorical__country_code_MDA,country_code,Severe,0.0
categorical__country_code_MDG,country_code,Low,7.054527612195612e-05
categorical__country_code_MDG,country_code,Moderate,3.0158755783938175e-05
categorical__country_code_MDG,country_code,Severe,4.067030334073635e-05
categorical__country_code_MDV,country_code,Low,0.0
categorical__country_code_MDV,country_code,Moderate,0.0
categorical__country_code_MDV,country_code,Severe,0.0
categorical__country_code_MEX,country_code,Low,6.5798961723158e-05
categorical__country_code_MEX,country_code,Moderate,2.0106745918144468e-05
categorical__country_code_MEX,country_code,Severe,7.465395198991374e-05
categorical__country_code_MHL,country_code,Low,0.0
categorical__country_code_MHL,country_code,Moderate,0.0
categorical__country_code_MHL,country_code,Severe,0.0
categorical__country_code_MKD,country_code,Low,1.2379800445060599e-07
categorical__country_code_MKD,country_code,Moderate,1.2379800445060787e-07
categorical__country_code_MKD,country_code,Severe,0.0
categorical__country_code_MLI,country_code,Low,4.79513267698077e-06
categorical__country_code_MLI,country_code,Moderate,7.398386579774835e-06
categorical__country_code_MLI,country_code,Severe,1.2193519256755274e-05
categorical__country_code_MLT,country_code,Low,0.0
categorical__country_code_MLT,country_code,Moderate,1.3049940699785304e-21
categorical__country_code_MLT,country_code,Severe,0.0
categorical__country_code_MMR,country_code,Low,0.0002727827506935215
categorical__country_code_MMR,country_code,Moderate,0.00012719179530477654
categorical__country_code_MMR,country_code,Severe,0.000399974545998298
categorical__country_code_MNE,country_code,Low,0.0
categorical__country_code_MNE,country_code,Moderate,0.0
categorical__country_code_MNE,country_code,Severe,0.0
categorical__country_code_MNG,country_code,Low,0.0
categorical__country_code_MNG,country_code,Moderate,0.0
categorical__country_code_MNG,country_code,Severe,0.0
categorical__country_code_MNP,country_code,Low,0.0
categorical__country_code_MNP,country_code,Moderate,0.0
categorical__country_code_MNP,country_code,Severe,0.0
categorical__country_code_MOZ,country_code,Low,9.243045961537611e-05
categorical__country_code_MOZ,country_code,Moderate,6.411266550526433e-05
categorical__country_code_MOZ,country_code,Severe,0.00012007885287382267
categorical__country_code_MRT,country_code,Low,5.040817226593007e-08
categorical__country_code_MRT,country_code,Moderate,8.132774318699148e-07
categorical__country_code_MRT,country_code,Severe,7.628692596039419e-07
categorical__country_code_MTQ,country_code,Low,0.0
categorical__country_code_MTQ,country_code,Moderate,0.0
categorical__country_code_MTQ,country_code,Severe,0.0
categorical__country_code_MUS,country_code,Low,0.0
categorical__country_code_MUS,country_code,Moderate,0.0
categorical__country_code_MUS,country_code,Severe,0.0
categorical__country_code_MWI,country_code,Low,1.7523255613739759e-06
categorical__country_code_MWI,country_code,Moderate,3.899316458662755e-06
categorical__country_code_MWI,country_code,Severe,4.663856703681497e-06
categorical__country_code_MYS,country_code,Low,7.22209899410225e-06
categorical__country_code_MYS,country_code,Moderate,2.9148831934140705e-06
categorical__country_code_MYS,country_code,Severe,5.4403086930103655e-06
categorical__country_code_MYT,country_code,Low,0.0
categorical__country_code_MYT,country_code,Moderate,0.0
categorical__country_code_MYT,country_code,Severe,0.0
categorical__country_code_NAM,country_code,Low,9.287233246534607e-07
categorical__country_code_NAM,country_code,Moderate,3.558309986466401e-07
categorical__country_code_NAM,country_code,Severe,1.2151377766787335e-06
categorical__country_code_NCL,country_code,Low,0.0
categorical__country_code_NCL,country_code,Moderate,0.0
categorical__country_code_NCL,country_code,Severe,0.0
categorical__country_code_NER,country_code,Low,1.1610341848042645e-05
categorical__country_code_NER,country_code,Moderate,1.2007639476160595e-05
categorical__country_code_NER,country_code,Severe,5.645324307075588e-06
categorical__country_code_NGA,country_code,Low,0.0010259565416726475
categorical__country_code_NGA,country_code,Moderate,0.0005639991158580752
categorical__country_code_NGA,country_code,Severe,0.0015759300336165914
categorical__country_code_NIC,country_code,Low,8.625802788916131e-06
categorical__country_code_NIC,country_code,Moderate,1.368774976001249e-06
categorical__country_code_NIC,country_code,Severe,9.875143507203528e-06
categorical__country_code_NIU,country_code,Low,0.0
categorical__country_code_NIU,country_code,Moderate,0.0
