analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2023-0290-SLE,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0291-AFG,,1,,,,year=2023; true=Low; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0295-SOM,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0306-PAK,,1,,,,year=2023; true=Moderate; predicted=High; type=Mass movement (wet); region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0325-BRA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2023-0620-UZB,,1,,,,year=2023; true=Low; predicted=Moderate; type=Explosion (Industrial); region=Central Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0331-PAK,,1,,,,year=2023; true=Low; predicted=High; type=Storm; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0339-HTI,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2023-0341-CHN,,1,,,,year=2023; true=Moderate; predicted=High; type=Flood; region=Eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0626-NGA,,1,,,,year=2023; true=Moderate; predicted=High; type=Explosion (Industrial); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0364-USA,,1,,,,year=2023; true=Moderate; predicted=High; type=Extreme temperature; region=Northern America; hdi=present; categories=known_categories
misclassified_sample,2023-0384-YEM,,1,,,,year=2023; true=High; predicted=Low; type=Flood; region=Western Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0434-BRA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2023-0438-ALB,,1,,,,year=2023; true=High; predicted=Extreme; type=Extreme temperature; region=Southern Europe; hdi=present; categories=known_categories
