analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2023-0876-SOM,,1,,,,year=2023; true=Moderate; predicted=High; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0882-MLI,,1,,,,year=2023; true=Moderate; predicted=High; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0137-PER,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2023-0489-ZAF,,1,,,,year=2023; true=Low; predicted=Moderate; type=Fire (Miscellaneous); region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0487-RUS,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0468-DZA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Wildfire; region=Northern Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0464-PHL,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0462-PAK,,1,,,,year=2023; true=Moderate; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0438-IRL,,1,,,,year=2023; true=Moderate; predicted=High; type=Extreme temperature; region=Northern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0438-HUN,,1,,,,year=2023; true=High; predicted=Extreme; type=Extreme temperature; region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0406-IND,,1,,,,year=2023; true=High; predicted=Moderate; type=Rail; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0359-IND,,1,,,,year=2023; true=Moderate; predicted=Extreme; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0326-NPL,,1,,,,year=2023; true=Moderate; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0294-MMR,,1,,,,year=2023; true=High; predicted=Low; type=Storm; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0293-ITA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0289-RUS,,1,,,,year=2023; true=Moderate; predicted=Low; type=Wildfire; region=Eastern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0266-PAK,,1,,,,year=2023; true=Moderate; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0227-IDN,,1,,,,year=2023; true=Low; predicted=Moderate; type=Mass movement (wet); region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0222-BDI,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0221-PER,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2023-0201-SOM,,1,,,,year=2023; true=Moderate; predicted=High; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0187-KEN,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0176-USA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Northern America; hdi=present; categories=known_categories
misclassified_sample,2023-0173-PAK,,1,,,,year=2023; true=Moderate; predicted=High; type=Flood; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0156-AFG,,1,,,,year=2023; true=Low; predicted=Extreme; type=Earthquake; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0881-BFA,,1,,,,year=2023; true=Moderate; predicted=Extreme; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0805-PAK,,1,,,,year=2023; true=Moderate; predicted=High; type=Fire (Miscellaneous); region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0792-IND,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0769-COD,,1,,,,year=2023; true=Low; predicted=High; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0763-DOM,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Latin America and the Caribbean; hdi=present; categories=known_categories
misclassified_sample,2023-0761-TUR,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Western Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0741-SOM,,1,,,,year=2023; true=High; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0722-NPL,,1,,,,year=2023; true=High; predicted=Low; type=Earthquake; region=Southern Asia; hdi=present; categories=known_categories
