grouping_strategy,group_key,disaster_type,disaster_subtype,magnitude_scale,total_records,magnitude_nonmissing,magnitude_missing,magnitude_nonmissing_rate,minimum,q1,median,q3,iqr,maximum,extreme_outlier_count,training_records,training_nonmissing,training_median_audit_only,training_iqr_audit_only,full_data_iqr_zero,training_iqr_zero,semantic_consistent,semantic_notes,statistically_supported_from_training,recommended_hybrid_group,unsupported_reasons
disaster_subtype+magnitude_scale,Fire (Miscellaneous) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Fire (Miscellaneous),<MISSING_SCALE>,461,0,461,0.0,,,,,,,0,342,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Glacial lake outburst flood | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Glacial lake outburst flood,<MISSING_SCALE>,8,0,8,0.0,,,,,,,0,0,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Lahar | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Lahar,<MISSING_SCALE>,1,0,1,0.0,,,,,,,0,0,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Landslide (dry) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Landslide (dry),<MISSING_SCALE>,9,0,9,0.0,,,,,,,0,9,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Landslide (wet) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Landslide (wet),<MISSING_SCALE>,397,0,397,0.0,,,,,,,0,292,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Lava flow | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Lava flow,<MISSING_SCALE>,11,0,11,0.0,,,,,,,0,4,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Locust infestation | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Locust infestation,<MISSING_SCALE>,27,0,27,0.0,,,,,,,0,19,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Miscellaneous accident (General) | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Miscellaneous accident (General),<MISSING_SCALE>,199,0,199,0.0,,,,,,,0,158,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Mudslide | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Mudslide,<MISSING_SCALE>,45,0,45,0.0,,,,,,,0,34,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Pyroclastic flow | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Pyroclastic flow,<MISSING_SCALE>,5,0,5,0.0,,,,,,,0,1,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Rail | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Rail,<MISSING_SCALE>,255,0,255,0.0,,,,,,,0,231,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
disaster_subtype+magnitude_scale,Road | <MISSING_SCALE>,<MULTIPLE_OR_NOT_APPLICABLE>,Road,<MISSING_SCALE>,2254,0,2254,0.0,,,,,,,0,1934,0,,,False,False,False,missing magnitude scale,False,False,missing magnitude scale; training non-missing sample count 0 < 20; training IQR unavailable
