model_id,fold,threshold,candidate_id,default_prediction_disagreement,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,quadratic_weighted_kappa,severe_to_low,low_to_severe,low_precision,low_recall,low_f1,low_support,moderate_precision,moderate_recall,moderate_f1,moderate_support,severe_precision,severe_recall,severe_f1,severe_support,severe_to_low_rate
LGBM_T2,4,0.41,LGBM_T2_t0.41,12,0.7238805970149254,0.6068021746302698,0.6020781417466592,0.6068021746302698,0.5977317345616667,0.7221069187120157,0.5264593283056554,12,6,0.684596577017115,0.8695652173913043,0.7660738714090287,322,0.829971181556196,0.6651270207852193,0.7384615384615385,433,0.2916666666666667,0.2857142857142857,0.28865979381443296,49,0.24489795918367346
LGBM_T2,pooled,0.42,LGBM_T2_t0.42,47,0.6719561454125793,0.6091448290337117,0.5564600835025882,0.6091448290337117,0.5631147168522251,0.6858378827229368,0.4485450054554615,68,45,0.5903448275862069,0.8351219512195122,0.6917171717171717,1025,0.8666249217282405,0.6305239179954442,0.729957805907173,2195,0.21241050119331742,0.3617886178861789,0.26766917293233083,246,0.2764227642276423
LGBM_T2,1,0.42,LGBM_T2_t0.42,11,0.6499454743729552,0.623014233241506,0.552531774423407,0.623014233241506,0.5604462133645555,0.6729561582866106,0.47447366511521827,9,13,0.60828025477707,0.7958333333333333,0.6895306859205776,240,0.8493150684931506,0.6148760330578512,0.713326941514861,605,0.2,0.4583333333333333,0.27848101265822783,72,0.125
LGBM_T2,2,0.42,LGBM_T2_t0.42,20,0.6647264260768335,0.5985281372243918,0.5437826413614905,0.5985281372243918,0.5456155633204323,0.6820120746488372,0.3982738921735163,25,10,0.5424657534246575,0.8608695652173913,0.6655462184873949,230,0.9007633587786259,0.6232394366197183,0.736732570239334,568,0.18811881188118812,0.3114754098360656,0.2345679012345679,61,0.4098360655737705
LGBM_T2,3,0.42,LGBM_T2_t0.42,7,0.6512415349887133,0.5987910816082155,0.5390200077700078,0.5987910816082155,0.5445096820176993,0.6704238805583542,0.3701866360143986,21,17,0.5166666666666667,0.7982832618025751,0.627318718381113,233,0.8822115384615384,0.6230899830220713,0.7303482587064677,589,0.21818181818181817,0.375,0.27586206896551724,64,0.328125
LGBM_T2,4,0.42,LGBM_T2_t0.42,9,0.7276119402985075,0.603344119051376,0.6058174832203012,0.603344119051376,0.597538618897312,0.7245968645126823,0.5252913238690925,13,5,0.683698296836983,0.8726708074534162,0.7667121418826739,322,0.8314285714285714,0.6720554272517321,0.7432950191570882,433,0.3023255813953488,0.2653061224489796,0.2826086956521739,49,0.2653061224489796
LGBM_T2,pooled,0.43,LGBM_T2_t0.43,49,0.673398730525101,0.6099041304763845,0.5574918467839262,0.6099041304763845,0.564391419617097,0.6869873753547779,0.4487352068494771,68,45,0.5899379738111648,0.8351219512195122,0.691437802907916,1025,0.8670411985018727,0.6328018223234624,0.7316302343955755,2195,0.21549636803874092,0.3617886178861789,0.2701062215477997,246,0.2764227642276423
LGBM_T2,1,0.43,LGBM_T2_t0.43,12,0.653217011995638,0.6246671258034894,0.5541080315117318,0.6246671258034894,0.5628663921282872,0.6756711755926904,0.47562857023725136,9,13,0.60828025477707,0.7958333333333333,0.6895306859205776,240,0.8503401360544217,0.6198347107438017,0.7170172084130019,605,0.2037037037037037,0.4583333333333333,0.28205128205128205,72,0.125
LGBM_T2,2,0.43,LGBM_T2_t0.43,21,0.6670547147846333,0.5997018461445797,0.5453756601208651,0.5997018461445797,0.5475931398338938,0.6837621859699029,0.3980421570683256,25,10,0.5409836065573771,0.8608695652173913,0.6644295302013423,230,0.9012658227848102,0.6267605633802817,0.7393561786085151,568,0.19387755102040816,0.3114754098360656,0.2389937106918239,61,0.4098360655737705
LGBM_T2,3,0.43,LGBM_T2_t0.43,7,0.6512415349887133,0.5987910816082155,0.5390200077700078,0.5987910816082155,0.5445096820176993,0.6704238805583542,0.3701866360143986,21,17,0.5166666666666667,0.7982832618025751,0.627318718381113,233,0.8822115384615384,0.6230899830220713,0.7303482587064677,589,0.21818181818181817,0.375,0.27586206896551724,64,0.328125
