event_id,year,country_code,region,disaster_type,disaster_subtype,event_date,event_date_upper,date_granularity,is_severe_description_only,label_available_description_only,event_name,Location,start_year,start_month,start_day,end_year,end_month,end_day,emdat_magnitude,emdat_magnitude_scale
2001-0436-VNM,2001,VNM,South-eastern Asia,Storm,Tropical cyclone,2001-08-11,2001-08-11,day,0,True,Usagi,"Ha Tinh, Nghe An, Quang Binh, Thanh Hoa provinces",2001,8,11,2001,8,11,196,Kph
2001-0454-JPN,2001,JPN,Eastern Asia,Storm,Tropical cyclone,2001-08-21,2001-08-21,day,0,True,Pabuk,"Siga, Aiti, Oosaka, Ehime, Mie provinces",2001,8,21,2001,8,23,109,Kph
2001-0475-CHN,2001,CHN,Eastern Asia,Storm,Tropical cyclone,2001-06-19,2001-06-19,day,0,False,,"Zhaotun borough (Qinpu Qu area, Name Unknown (13243) district, Shanghai Shi province), Huangdu, Anting borough (Jiading Qu area, Shanghai district, Shanghai Shi province)",2001,6,19,2001,6,19,,Kph
2001-0488-MEX,2001,MEX,Latin America and the Caribbean,Storm,Tropical cyclone,2001-07-25,2001-07-25,day,0,False,Dalila,"Guerrero, Chiapas provinces",2001,7,25,2001,7,25,,Kph
2001-0511-JPN,2001,JPN,Eastern Asia,Storm,Tropical cyclone,2001-09-10,2001-09-10,day,0,True,Danas,Tookyoo province,2001,9,10,2001,9,13,126,Kph
2001-0522-TWN,2001,TWN,Eastern Asia,Storm,Tropical cyclone,2001-09-16,2001-09-16,day,0,True,Nari,"Taipei, Keelung, Chiayi, Miaoli areas (Taiwan Sheng province)",2001,9,16,2001,9,20,,Kph
2001-0553-BLZ,2001,BLZ,Latin America and the Caribbean,Storm,Tropical cyclone,2001-10-08,2001-10-08,day,0,True,Iris,"Toledo, Stann Creek provinces",2001,10,8,2001,10,11,233,Kph
2001-0562-MEX,2001,MEX,Latin America and the Caribbean,Storm,Tropical cyclone,2001-09-24,2001-09-24,day,0,True,Juliette,Baja California Sur province,2001,9,24,2001,10,2,120,Kph
2001-0570-DOM,2001,DOM,Latin America and the Caribbean,Storm,Tropical cyclone,2001-10-04,2001-10-04,day,0,True,Iris,Santo Domingo province,2001,10,4,2001,10,9,,Kph
2001-0570-GTM,2001,GTM,Latin America and the Caribbean,Storm,Tropical cyclone,2001-10-08,2001-10-08,day,0,True,Iris,"Peten, Zacapa, Quetzaltenango provinces",2001,10,8,2001,10,11,,Kph
